UTC,FMS_ALT_PRES,FMS_TAS,FMS_SAT,FMS_LAT,FMS_LON,FMS_GRD_SPD,FMS_HDG,FMS_TRK,FMS_WNS,FMS_WND,IRS_PITCH,IRS_ROLL,IRS_VERT_ACC,ADC_IAS,GPS_ALT,A_DewPoint,A_CabinPressure,A_SurfTemp,A_TotalTemp,A_JNO2_Nadir,A_JNO2_Zenith,A_RadarAlt,C_StaticPressure,C_DiffPressure,C_StatTempDegC,C_PotTempDegK,C_MachNumber,C_CabAltitude,C_VaporPresWater,C_SatVaporPresWater,C_SatVaporPresIce,C_MixingRatio,C_RelHumidity
78215,9941.8,233.89,11.57,39.540489,-105.008652,240.77,150.1,147.84,,,-1.28,24.11,-0.013,200.32,10594.8,4.95,12.532,38.12,19.08,0.001661,0.008218,,699.51,64.137,11.84,315.642,0.356,4341.9092,8.7239,13.9248,15.6035,7.85489,62.55
78216,9923.2,233.37,12.0,39.539516,-105.007919,241.15,152.86,149.84,,,-1.44,23.34,0.021,201.73,10570.6,5.13,12.531,38.58,19.35,0.001641,0.008228,,700.32,63.379,12.2,315.933,0.354,4343.4258,8.8292,14.2552,16.028,7.94175,62.36
78217,9895.0,235.7,12.0,39.538536,-105.007301,241.64,155.85,152.4,,,-1.38,23.4,0.074,201.97,10544.9,5.14,12.531,38.97,19.38,0.001639,0.008213,,701.02,63.602,12.21,315.859,0.354,4343.9126,8.8403,14.2687,16.0453,7.94378,62.33
78218,9872.0,235.16,12.0,39.537498,-105.006668,241.77,158.42,154.45,,,-1.22,23.76,0.044,200.46,10519.0,5.04,12.53,39.22,19.43,0.00164,0.008192,,701.73,64.039,12.22,315.771,0.355,4346.561,8.7758,14.2717,16.0492,7.87699,60.1
78219,9853.5,235.71,12.0,39.536465,-105.006165,242.13,160.55,156.62,,,-1.23,26.07,-0.02,200.09,10495.4,4.92,12.529,39.36,19.37,0.001676,0.008111,,702.24,63.642,12.21,315.696,0.354,4348.7183,8.7037,14.2647,16.0402,7.80571,60.35
78220,9831.0,235.9,12.0,39.535423,-105.005653,242.25,163.05,158.45,,,-1.16,27.93,0.026,199.79,10477.2,4.84,12.529,39.4,19.44,0.001686,0.008051,,702.73,63.212,12.33,315.765,0.353,4349.4443,8.6556,14.3766,16.1844,7.75658,60.33
78221,9810.0,236.26,12.07,39.534344,-105.005211,242.25,165.39,160.83,,,-0.99,28.35,0.014,200.4,10455.9,4.8,12.528,39.4,19.53,0.001686,0.008032,,703.27,63.733,12.36,315.731,0.354,4350.6343,8.6321,14.4069,16.2233,7.72921,59.85
78222,9791.5,235.66,12.5,39.533264,-105.004799,242.26,168.32,163.37,,,-1.17,31.34,0.014,199.99,10435.4,4.74,12.528,39.31,19.55,0.001727,0.007938,,703.8,63.754,12.39,315.695,0.354,4351.4678,8.5961,14.4334,16.2574,7.69076,59.49
78223,9777.2,236.1,12.5,39.532173,-105.004478,242.38,171.51,166.57,,,-1.05,33.85,0.037,199.7,10416.4,4.65,12.527,39.07,19.53,0.001739,0.007864,,704.34,64.166,12.33,315.559,0.355,4352.9595,8.5411,14.3773,16.1852,7.63495,59.44
78224,9750.8,237.52,12.43,39.531033,-105.004288,242.51,174.84,169.57,,,-1.08,33.5,0.031,200.87,10396.0,4.6,12.526,38.73,19.56,0.001737,0.007877,,704.87,65.197,12.26,315.413,0.358,4354.6924,8.5131,14.3097,16.098,7.60386,60.46
